id,subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct
386,Mining Engineering,Mine Legislation,8,The central govt may direct that accidents other than reportable and serious; which cause bodily injury resulting in the enforced absence from work of the 8 person injured for a period exceeding.....shall be entered in the registry?,12hours,24 hours,48 hours,72 hours,1
387,Mining Engineering,Mine Legislation,8,All surface structures and supports within a horizontal distance of........from all entrances to a mine shall be of fire proof material?,5 m,10 m,15 m,20 m,1
388,Mining Engineering,Open Cast Mining,8,Ventilation by mechanical means is provided in sinking shaft exceeding depth of...m?,30,25,40,15,1
389,Mining Engineering,U/g Mines Ventilation,8,The permitted content of silica dust in mine air should not exceed ?,1 mg/cu.m,2 mg/cu.m,3 mg/cu.m,4 mg/cu.m,1
390,Mining Engineering,Open Cast Mining,8,The yeilding props which exerts resistance with continuous increase in yield are called?,Early bearing supports,Late bearing supports,Hydraulic supports,none of the above,1
391,Mining Engineering,Mine Legislation,8,No person shall be employed where the parting with an overlying seam on fire or in which spataneous heating has taken place consists of less than .......of hard rock?,30 m,60 m,10 m,100 m,2
392,Mining Engineering,Mine Legislation,8,When it is intended to abandon a mine or seam or to discontinue working therof for a period exceeding 60 days the owner or manager shall not less than .....before such abandonment or discontinuance;give to C.I and R.I?,15 days,30days,40 days,60 days,2
393,Mining Engineering,U/g Mines Ventilation,8,The process which involves reacting the ore with liquid solvent that will dissolve the mineral at low or moderate temparature and pressure is called?,Pyrometallurgical,Hydrometallurgical,Bio leaching,none,1
394,Mining Engineering,Mine Legislation,8,"23,If the number of persons employed in the mine is 500 then the quantity of water required is?",1000 lit,500 lit,250 lit,1500 lit,0
395,Mining Engineering,U/g Mines Ventilation,8,The atmosphere is non explosive if the O2 percentage is?,below 12 %,12 % to 20 %,20 % to 40 %,40 % to 50 %,0
396,Mining Engineering,Mine Machinery,8,The range of the poison's ratio is?,0 to 0.15,0.15 to 0.25,0.25 to 0.34,0.34 to 0.5,2
397,Mining Engineering,Mine Legislation,8,Any injury which involves the permanant loss of any part or section of the body is called?,Minor injury,Reportable injury,Fatal injury,Serious bodily injury,3
398,Mining Engineering,Open Cast Mining,8,The machine suitable for digging alluvium sandy soil unconsolidated rock or blasted coal or rock and which can dip below the level at which it stands and casts the material over a wide area is?,Hydraulic shovel,Dipper shovel,Tractro shovel,Dragline,3
399,Mining Engineering,Open Cast Mining,8,During development the height of the gallery should not exceed?,2m,3m,4m,5m,1
400,Mining Engineering,Open Cast Mining,8,Direction of the longwall face advance towards the dip side is possible only when gradient of the seam is ?,slightly or nearly flat,upto 25 deg,45 deg,60 deg,0
401,Mining Engineering,Mine Legislation,8,The life of the winding rope is .....years?,2,3.5,5,6,1
402,Mining Engineering,Mine Machinery,8,Total capacity of motor in AM-50 roadheader is?,100 kw,155 kw,200 kw,120 kw,1
403,Mining Engineering,Open Cast Mining,8,The amount of diesel oil mixed for 100kg of AN is( dryseason and wet seanson)?,5 and 6,6 and 7,7 and 9,10 and 12,2
404,Mining Engineering,Open Cast Mining,8,To study bed rock lying below soil cover 1m adn max 30m deep pits are made is known as ?,Trenching,Pitting,tracing of float,none,1
405,Mining Engineering,U/g Mines Ventilation,8,The percentage test will be conducted if the methane percentage is?,1 to 2 %,2 to 3 %,3 % or more,Below 1 %,2
406,Mining Engineering,Open Cast Mining,8,In hydraulic sand stowing the throw of the sand without nozzle is ...m and with nozzle is ...m?,2 ; 6,3 ; 7,4 ; 8,5 ; 9,1
407,Mining Engineering,U/g Mines Ventilation,8,Splits reduce the doors on haulage roads but ?,Increase pressure,Decrease quantity,Increase Number of air crossings,none,2
408,Mining Engineering,Open Cast Mining,8,The metamorphic form of orthoclase is?,schist,gneiss,china clay,talc,2
409,Mining Engineering,Mine Legislation,8,Every ladder in the shaft shall be securely fixed in the shaft at an inclination of nor more than .......from the horizontal?,60 deg,70 deg,80 deg,45 deg,2
410,Mining Engineering,Mine Legislation,8,The floor area of the shelter should not less than?,10 sq.m,14 sq.m,20 sq.m,18 sq.m,1
411,Mining Engineering,U/g Mines Ventilation,8,In reviving apparatus the maximum O2 is supplied to person is?,10 lit/min,20 lit/min,30 lit/min,40 lit/min,2
412,Mining Engineering,Open Cast Mining,8,In ANFO the water content should not be more than?,6 %,7 %,8 %,9 %,3
413,Mining Engineering,Open Cast Mining,8,The minimum thickness of the coal seam for adopting Bord and pillar method of mining?,1.0 m,1.5 m,2.0 m,2.5 m,1
414,Mining Engineering,Mine Machinery,8,The efficiency for electric genarator is .....but for air compressors it is...?,90 % ; 70 %,70 % ; 90 %,80 % ;50 %,80 % ; 80 %,0
415,Mining Engineering,Open Cast Mining,8,The limitation for the inclined drilling is?,10 deg off the vertical,30 deg off the vertical,45 deg off the vertical,60 deg off the vertical,1
416,Mining Engineering,Open Cast Mining,8,With AFC the length of single unit face commonly?,80m,100m,160m,200m,1
417,Mining Engineering,Mine Machinery,8,The resistance which a body offers to being pulled asunder by tensile force is called?,Ductility,Mallability,Toughness,Tenacity,3
418,Mining Engineering,Mine Machinery,8,When men are being hoisted orlowered as the cage appoached pit top or pit bottom decking level its speed should not exceed 1.5 m/sec such arrangement is known as?,Over speed device,Overwind device,Wardleonard control,Slow banking device,3
419,Mining Engineering,Mine Legislation,8,Register of notice of medical re-examination by medical board is maintained in the form of?,FORM Q,FORM R,FORM S,FORM T,0
420,Mining Engineering,U/g Mines Ventilation,8,While approaching a water logged area with safety boring apparatus an emergency shutoff door shall be built away from the site of boring machine at a distance of?,10 m,15 m,20 m,25 m,1
421,Mining Engineering,U/g Mines Ventilation,8,In the flame safety lamp should be discorded if the battery voltage is?,Below 5,Above 5,Below 2.3,2.3 to 5,2
422,Mining Engineering,Mine Legislation,8,If a mine is abandoned or working thereof is discontinued over a period exceeding 60 days if a change occurs in the owner of mine the annual returns shall be submitted within......days abandoment or change of ownership or within ....days of discontinuance?,30 ; 90,60 ;90,30 ;60,60 ;120,0
423,Mining Engineering,Mine Machinery,8,The maximum life of the winding rope is?,10 years,7 years,5 years,3.5 years,3
424,Mining Engineering,U/g Mines Ventilation,8,cooling power by conduction convection and radiation is given by using the ?,dry bulb temparature,wet bulb temparatute,Average time of wet and dry bulbs,wet and dry bulb time and velocity of air,1
425,Mining Engineering,Mine Legislation,8,The maximum number of days for vocational training in general..?,6 days,12 days,18 days,20 days,0
426,Mining Engineering,Mine Machinery,9,The most important role plays in a safety that a component detaching hook is?,Jaws,Centre pivot,Copper pin,D link pin,2
427,Mining Engineering,Open Cast Mining,9,Bord and pillar method is applied when a seam is?,Outcropping,at shallow depth,at moderate depth,at greater depth,2
428,Mining Engineering,Mine Legislation,9,Concillation officer shall send a report to govt. within .....days of start of concillation proceedings?,7,14,30,60,1
429,Mining Engineering,Open Cast Mining,9,IN sand stowing high local velocity of sand results?,cavitaiton,wear on pipes,setup pulsation,jamming,1
430,Mining Engineering,U/g Mines Ventilation,9,If the CH4 and air mixture is at 1000 deg C then the delay for ignition is?,20 sec,10 sec,5 sec,1 sec,3
431,Mining Engineering,Mine Legislation,9,The term of the committee member is........years?,5,4,3,2,2
432,Mining Engineering,Mine Machinery,9,The safe distance for brakes in loco is?,30 m,60 m,90 m,15 m,1
433,Mining Engineering,Mine Legislation,9,If the number of persons are 3000 in the mine then the number of workmen inspectors are required is?,1,2,3,4,2
434,Mining Engineering,Mine Machinery,9,The shape of the drill rod used in stone is?,Diamond section,HExagonal,Square section,Turbine section,3
435,Mining Engineering,Mine Legislation,9,Every year ...of the persons employed at the mine undergo the medical examination every year?,1/2,1/3 rd,1/4 th,1/5 th,3
436,Mining Engineering,Mine Machinery,9,The out put per month for the Backshunt circuit is?,50000,40000,30000,20000,0
437,Mining Engineering,Mine Machinery,9,Guy ropes;guide ropes are the example of?,Non-stranded ropes,Stranded ropes,Standing ropes,Running ropes,2
438,Mining Engineering,U/g Mines Ventilation,9,when mixed with air H2S forms on explosive mixture the limits of inflamability is ?,5 - 15,4.3 - 45,12 - 75,4.5 - 75,1
439,Mining Engineering,U/g Mines Ventilation,9,The diseased caused due to exposed to dusty atmosphere containing large amount of smoke?,Anthracosis,Ankylostomiasis,Silicosis,Asbestosis,0
440,Mining Engineering,Open Cast Mining,9,The seam thickness is suitable for coal plough operation?,0.2 to 1m,0.6 to 2m,1 to 3m,3 to 5 m,1
441,Mining Engineering,Mine Machinery,9,The maximum working gradient for coal cutting machine is?,1 in 3,1 in 4,1 in 6,1 in 10,2
442,Mining Engineering,Open Cast Mining,9,The permitted explosive used in u/g in BOS of all gassimines?,Ajax-G,Unisax-G,Soligex,Solimax,2
443,Mining Engineering,Open Cast Mining,9,In the detonator the priming charge is?,PETN,TNT,ASA,AN,2
444,Mining Engineering,U/g Mines Ventilation,9,The blanketing layer which is used to detect cracks in stopings should be ....m thick?,1,2,3,4,2
445,Mining Engineering,Open Cast Mining,9,Olivine belongs to?,Amphibole,Pegmatite,Pyroxene,Peridote,3
446,Mining Engineering,U/g Mines Ventilation,9,In refrigerant circulation system the refrigerant used is?,Ammonia,Calcium chloride,Freon-12,Corbon dioxide,0
447,Mining Engineering,Mine Legislation,9,Generally in coal seams having inclination of more than atleast.......the pillars develop a turning moment due to vertical and horizontal forces?,1 in 3,1 in 4,1 in 6,1 in 8,1
448,Mining Engineering,Mine Legislation,9,Examination of air crossings;ventilation stoppings shall be done once in........?,7 days,14 days,30 days,60 days,1
449,Mining Engineering,U/g Mines Ventilation,9,One kg of methane in burning evolves .....kcal of heat?,10000,12000,13600,15000,2
450,Mining Engineering,Mine Legislation,9,The quantity of driking water per person employed in a mine where W.B.T temparature exceeds 30 deg c is?,2 lit,3 lit,4 lit,5 lit,1
451,Mining Engineering,Mine Machinery,9,The components of cage arrachements chanins; links; shackeles; are exempted from periodical heat treatment if they are made of?,wrought iron,Mild steel,0.5 % carbon steel,1.5 % Manganese steel,3
452,Mining Engineering,Mine Legislation,9,No person employed in a public utility service shall go on strike in breach or contract without giving to the employer notice of strike within..?,2 weeks before strike,4 weeks before strike,6 weeks before strike,8 weeks before strike,2
453,Mining Engineering,Mine Legislation,9,Every road or footpath breadth shall not be less than atleast...?,2.5 m,1.8 m,1.5 m,1 m,3
454,Mining Engineering,U/g Mines Ventilation,9,In drypowder extinguiser which chemical is used?,Soda bicorbonate,Mono ammonium phosphate,corbon tetra chloride,B.C.F,1
455,Mining Engineering,Mine Machinery,9,The wires spiral round the core in the same direction as the threads of left hand screw are called?,Non-stranded,Stranded,Right hand ropes,Lefthand ropes,3
456,Mining Engineering,U/g Mines Ventilation,9,The light is extinguished when black damp % is?,17 %,17.5 %,21 %,20 %,0
457,Mining Engineering,U/g Mines Ventilation,9,The minimum voltage at which the methanometer works with accuracy is?,1 v,1.5 v,2.2 v,3 v,2
458,Mining Engineering,U/g Mines Ventilation,9,The limiting gradient of the slusher haulage is?,20 deg,30 deg,45 deg,60 deg,2
459,Mining Engineering,Open Cast Mining,9,The stowing rate in hydraulic sand stowing is?,60-80 tph,80-100 tph,100-120 tph,120-140 tph,1
460,Mining Engineering,Open Cast Mining,9,Gabro is ?,Carbonate rock,Sedimentary rock,Metamarphic rock,Plutonic rock,3
461,Mining Engineering,U/g Mines Ventilation,9,Air samples from behind the stopings should be collected between?,6 am to 9 am,9 am to 12 noon,12 noon to 2 pm,10 pm to 12 pm,2
462,Mining Engineering,Open Cast Mining,9,The stowing efficiency in Mechanical sand stowing?,50 %,73 %,60 %,70 %,2
463,Mining Engineering,Mine Machinery,9,The traveling speed of the shuttle car without load is?,3 to 5 kmph,5 to 6 kmph,7 to 8 kmph,8 to 10 kmph,2
464,Mining Engineering,Mine Machinery,9,The wire ropes which offers better wearing surface and more resist to bending fatigue are called?,Lang's lay,Ordinary lay,Right hand,Locked coil,0
465,Mining Engineering,U/g Mines Ventilation,9,The maximum air velocity at the main haulage roads is?,1.7 m/s,3 m/s,5 m/s,7.5 m/s,2
466,Mining Engineering,U/g Mines Ventilation,9,The efficiency of the workman if the wet bulb temparature in the mine is 310 K?,100,75,50,25,3
467,Mining Engineering,Mine Legislation,9,A vehicle transporing explosives shall not be driven at a speed exceeding....kmph ?,15,20,25,30,2
468,Mining Engineering,Mine Machinery,9,In most premanant installations with pnematic tools and machines the leakage should not exceed ...of the total compressor capacity?,5 %,2 %,7 %,10 %,0
469,Mining Engineering,Mine Legislation,9,All results of measurment of airborne respirable dust and all other relevant particulars shall be systamatically recorded within.....of the date of collection of samples?,7 days,14 days,30 days,2 months,1
470,Mining Engineering,Open Cast Mining,9,The daily advance in development of galleries by continuous miner?,20m,30m,40m,50m,2
471,Mining Engineering,Mine Legislation,9,Every worker has to go vocational training once in..........years?,3,5,6,4,1
472,Mining Engineering,U/g Mines Ventilation,9,The method of dealing with fire in mine where heating is in the initial stages and its exact location is known is?,Digging out and extinguishing,Blanketing,Flooding,Sealing off,0
473,Mining Engineering,Open Cast Mining,9,The explosive charge per hole in BG method?,2 - 3 kg,1 - 2 kg,3 - 4 kg,4 - 5 kg,0
474,Mining Engineering,Mine Machinery,9,What is the normal operating air pressure for pnematically operated machines in underground is.....psi?,65,25,85 to 100,100 to 120,2
475,Mining Engineering,Mine Machinery,9,The drill used for upward drilling normally for wet drilling is?,Jack hammer,Drifter,Stoper,Electric drill,2
476,Mining Engineering,Mine Machinery,9,The pit top and pit bottom arrangement which deals with reasonable output per month and occupies less space is?,Run round arrangement,Back shunt circuit,Turn table circuit,Traverse circuit,2
477,Mining Engineering,Mine Legislation,9,Abstracts of the mines act is in?,second schedule,third schedule,forth schedule,fifth schedule,3
478,Mining Engineering,Mine Legislation,9,The top and bottom of every haulage plane every regular stoping place expect within.....of the face;the roof and sides shall be white washed ?,60 m,50 m,200 m,100 m,3
479,Mining Engineering,U/g Mines Ventilation,9,The inclined water guage can read upto?,2 mm,1.5 mm,1 mm,0.2 mm,3
480,Mining Engineering,Mine Legislation,9,Register of second and final notice of initial periodical medical examination is maintained in the form of?,FORM N,FORM O,FORM P,FORM P-I,0
481,Mining Engineering,Mine Legislation,9,Canteens should be painted atleast once in...?,6 months,3 yrs,1 yr,2 yrs,1
482,Mining Engineering,Mine Legislation,9,All unsued workings which are not sealed off and the isolation stoppings shall be inspected once in.......?,a day,7 days,14 days,30 days,1
483,Mining Engineering,Mine Legislation,9,The decending cage from being landed at the pit bottom or other permanant landing at a speed exceeding....m/sec?,1,1.5,2,3,1
484,Mining Engineering,Open Cast Mining,9,Which portion of pipe damaged more in sand stowing?,upper portion,middle portion,2/3 from the top,lower portion,0
485,Mining Engineering,U/g Mines Ventilation,9,The flame of a flame safety lamp while testing for CH4 spires of jumps at the ?,1 %,2 %,3 %,5 %,2
486,Mining Engineering,U/g Mines Ventilation,9,The method of stoping best suited to low grade deposits of horizontal or mild dip and of thickness upto 5m is?,Open stoping,Breast stoping,Sublevel stoping,Shrinkage stoping,1
487,Mining Engineering,U/g Mines Ventilation,9,The delay eliminates completely if the H2 % in methane is?,10,20,30,40,2
488,Mining Engineering,U/g Mines Ventilation,9,The method of stoping for narrow and steeply dipping ore with any type of ore and walls is?,Square set,Top slicing,Resuing,Cut and fill,2
489,Mining Engineering,Open Cast Mining,9,An inlier is ?,Spread of older rock on younger rocks,surface erosion,older rock exposed in younger rock,bend in rocks,2
490,Mining Engineering,Mine Legislation,9,Inspection of all entrances of the mine is done once in.......?,a day,7 days,14 days,30 days,1
491,Mining Engineering,Open Cast Mining,9,The maxmimum compressive strength of cavable roof?,300 kg/sq.cm,400 kg/sq.cm,500 kg/sq.cm,600 kg/sq.cm,2
492,Mining Engineering,Mine Machinery,9,The tractive effort varies with the?,directly weight of the train,inversely weight of the train,directly with the speed of the train,inversely with the speed of the train,3
493,Mining Engineering,Mine Legislation,9,Where either of the two ways affording means of egress from the district to the surface is not ordinarly used for trevelling once atleast in every.....the whole of such way is examined by sirdar?,7 days,10 days,15 days,30 days,0
494,Mining Engineering,U/g Mines Ventilation,9,Modern flame safety lamps can withstand an air velocity of?,5 m/s,10 m/s,15 m/s,20 m/s,2
495,Mining Engineering,Open Cast Mining,9,Diamond drilling is applicable upto a max depth of .....m?,500,1000,3000,5000,2
496,General Aptitude & Reasoning,English grammar and vocabulary,9,Choose the most appropriate alternative from the options given below to complete the following sentence: I___ to have bought a diamond ring.,have a liking,should have liked,would like,may like,2
497,General Aptitude & Reasoning,English grammar and vocabulary,9,Choose the most appropriate alternative from the options given below to complete the following sentence: Food prices ___ again this month.,have raised,have been raising,have been rising,have arose,2
498,General Aptitude & Reasoning,English grammar and vocabulary,9,"Choose the most appropriate alternative from the options given below to complete the following sentence: The administrators went on to implement yet another unreasonable measure, arguing that the measures were already __ and one more would hardly make a difference.",reflective,utopian,luxuriant,unpopular,3
499,General Aptitude & Reasoning,English grammar and vocabulary,9,"Choose the most appropriate alternative from the options given below to complete the following sentence: To those of us who had always thought him timid, his ___ came as a surprise.",intrepidity,inevitability,inability,inertness,0
500,General Aptitude & Reasoning,Probability and statistics,9,"Two policemen, A and B, fire once each at the same time at an escaping convict. The probability that A hits the convict is three times the probability that B hits the convict. If the probability of the convict not getting injured is 0.5, the probability that B hits the convict is",0.14,0.22,0.33,0.4,0
501,General Aptitude & Reasoning,General aptitude,10,"If a prime number on division by 4 gives a remainder of 1, then that number can be expressed as",sum of squares of two natural numbers,sum of cubes of two natural numbers,sum of square roots of two natural numbers,sum of cube roots of two natural numbers,0
502,General Aptitude & Reasoning,Reading comprehension,10,"In the early nineteenth century, theories of social evolution were inspired less by Biology than by the conviction of social scientists that there was a growing improvement in social institutions. Progress was taken for granted and social scientists attempted to discover its laws and phases. Which one of the following inferences may be drawn with the greatest accuracy from the above passage? Social scientists",did not question that progress was a fact.,did not approve of Biology.,framed the laws of progress.,emphasized Biology over Social Sciences.,0
503,Mining Engineering,Mine surveying,10,"A 30 m steel tape having an area of cross-section of 5 x 10 m” is standardized at 20°C, supported under a tension of 5.45 N. It is used to measure a horizontal distance of 81.15 m under an applied tension of 9.09 N. The error, due to incorrect pulling arrangement in this observation, in m is (Egee= 200 GPa)",0.148,0.295,1.82,3.64,1
504,Mining Engineering,Mining engineering fundamentals,10,! The value of jsin'] (cosx)dx is 0 (ir—l) (7r+1) (27r+1) (Zﬂ—]),>,2 2 ()] 2,——=~,———=,0
505,Mining Engineering,Mining engineering fundamentals,10,"Assuming sin(l) =0.841and sin(3) =0.141, the Lagrangian linear interpolating polynomial, for the function f'(x) =sin(x) defined on the interval [1, 3] and passing through the end points of the interval, is",0.35x+1.19,3.05x+11.92,#ERROR!,—40.50x+219.19,0
506,Mining Engineering,Rock mechanics and strata control,10,A cylindrical rock specimen is uniaxially loaded under compression and fails at 50 MPa. The fracture plane is inclined at an angle of 45° with the axial direction. The normal and shear stresses respectively on the failure plane in MPa are,"50, 50","0,50","50,0","25,25",3
507,Mining Engineering,Mining engineering fundamentals,10,"In a surface mine, sound pressure level at a location generated by operation of a dozer and a drill respectively are 80 dBA and 60 dBA, when operated independently. The sound pressure generated by the dozer compared to the drill is higher by a factor of",10,20,100,200,0
508,Mining Machinery & Materials Handling,Mining machinery and materials handling,10,"As per the Indian Electricity Rules 1956, the maximum permissible length of a flexible cable used with an electric rope shovel in m is",100,200,300,500,2
509,Mining Engineering,Mining engineering fundamentals,10,The equipment that is NOT used in hard rock metal mining drivage is,road header,drill jumbo,jack hammer,dint header,3
510,Mining Engineering,Rock mechanics and strata control,10,The roof bolt that follows the principle of point anchorage is,expansion shell bolt,full column grouted bolt,split set bolt,swellex bolt,0
511,Mining Engineering,Mining engineering fundamentals,10,Equipment used in mining of placer deposits is,auger,wagon drill,rope saw,riftle box,3
512,Mining Engineering,Mining engineering fundamentals,10,Nystagmus is a miner’s disease associated with,lever,lung,eye,stomach,2
513,Surface & Underground Mining Methods,Surface and underground mining methods,10,"Apart from mining of coal, the longwall mining method has been practiced for mining the deposits of",copper,lead and zinc,manganese,pyrite and phosphate,3
514,Mining Engineering,Mining engineering fundamentals,10,"The three segments, whose synchronous functioning is essential for GPS operations, are","space, control and user","signal, control and user","space, control and geo-registration","signal, control and geo-registration",0
515,Surface & Underground Mining Methods,Surface and underground mining methods,10,"When a double ended ranging drum shearer cuts coal in a longwall face,",both the drums rotate in the same direction keeping the front drum up and the rear drum down,both the drums rotate in the opposite direction keeping the front drum up and the rear drum down,both the drums rotate in the opposite direction keeping the front drum down and the rear drum up,both the drums rotate in the same direction keeping the front drum down and the rear drum up,1
516,Mine Ventilation & Environment,Mine ventilation and environment,10,"The match the following Mine gas Principal constituent P Stink damp 1 CO Q White damp 2 H,S R Black damp 3 CH, S Fire damp 4 CO,","P-1,Q-2,R-3,S-4","P-3,Q-4,R-1, S-2","P-2,Q-1,R-4,8-3","P-2, Q-1,R-3, S-4",2
517,Mining Engineering,Mining engineering fundamentals,10,Continuous miner and shuttle car combination is NOT applicable in mining with,rib pillar extraction technique,Wangawilli system,room and pillar method,longwall method,3
518,Mine Ventilation & Environment,Mine ventilation and environment,10,A Dragger Gas Mask DOES NOT filter,water vapour,nitrous fumes,carbon monoxide,carbon dioxide,1
519,Mining Engineering,Mining engineering fundamentals,10,"A system consists of four elements A, B, C and D which are connected functionally in a parallel configuration. The individual reliability of the elements is 0.80, 0.82, 0.85 and 0.90 respectively. The reliability of the system is",0.498,0.602,0.75,0.999. e blasting technique used for controlled throw of overburden is known as,3
520,Mining Engineering,Rock blasting and drilling,10,The blasti hni d f lled thi f burden is k,cast blasting,coyote blasting,plaster shooting,pop shooting,0
521,Mining Engineering,Rock blasting and drilling,10,"The stoping method, where a large part of blasted ore is allowed to accumulate in the stope to serve the purpose of providing working platform for stoping as well as to support the wall-rock, is known as",shrinkage stoping,cut and fill stoping,square-set stoping,sublevel stoping,0
522,Engineering Mathematics,Engineering mathematics,10,An iron ore mine recorded an average of 3 accidents per month. The number of accidents is distributed according to Poisson distribution. The probability that there will be exactly 2 accidents per month is,0.22,0.3,0.43,0.67,0
523,Mining Machinery & Materials Handling,Mining machinery and materials handling,10,Match the following: Equipment Component P Scraper 1 Dribble belt Q Dragline 2 Dipper stick R Bucket wheel excavator 3 Fairlead S Rope shovel 4 Bowl,"P-2, Q-4,R-3, S-1","P-4, Q-2, R-1, S-3","P-4,Q-3,R-1,S-2","P-2, Q-4,R-1, S-3",2
524,Mining Machinery & Materials Handling,Mining machinery and materials handling,10,"The torque in N-m of a winder motor is described by the relationship 7 =1450 - 3.2, where, wis the angular speed of the motor in rad/s. If the shaft is rotating at a speed of 1450 rpm, the power of the motor in kW is",112.4,146.4,184.4,212.4,1
525,Mining Engineering,Mining engineering fundamentals,10,"A spherical droplet of water, with density 1000 kg/m and diameter of 1 pm, is falling in air. The viscosity of air is 1.85 x 10 “kg/m-s. Neglecting air density and assuming that the settling of droplet in air follows Stokes’ Law, the settling velocity in m/s is",0.98x 10,2.95x10°*,8.04x10°,53.03x10°7°,1
526,"Mine Planning, Geostatistics & Economics",Mine planning and economics,10,"A mining company has three mines (M1, M2 and M3) that supply coal to three power plants (P1, P2 and P3). The three mines produce 900, 1000 and 1200 te of coal per day respectively. The power plant requirements from these three mines are 1200, 1000 and 900 te per day respectively. The unit cost of transporting coal from the three mines to the three power plants in Rs. is given below Power plants P1 P2 P3 Ml 8 10 12 Mines M2 12 13 12 M3 14 10 11 Based on the initial basic feasible solution, using Vogel’s approximation method, the total transportation cost in Rs. is",31200,31400,32800,40000,1
527,Mining Engineering,Mining engineering fundamentals,10,The angle between the tangents to the curve R=1%+ 21‘}' at the point £ = =*1 is T V4,—,3 V4 V4,—,;,0
528,Mining Engineering,Rock mechanics and strata control,10,"A series of triaxial tests of sandstone samples reveal the cohesion and the angle of internal friction as 21.65 MPa and 30° respectively. Based on the assumption that the sandstone samples follow the Mohr-Coulomb’s failure criteria, the tensile strength in MPa is",12.5,18.75,21.65,25,3
529,Mining Engineering,Mine surveying,10,The adjusted values of departure and latitude for a traverse line AB obtained in a field survey of a mine are 225.520 m and 388.835 m respectively. The length in m and azimuth of line AB are,"449.50, 30.11°","614.36, 30.11°","614.36,45.11°","449.50, 45.11°",0
530,Mining Engineering,Rock blasting and drilling,10,Match the following: Mining system Face supports P Mechanized longwall in flat seam 1 Cable bolting Q Blasting gallery method 2 Shield support R Mechanized longwall in steep seam 3 Alpine breaker line support S Wangawilli method for 3 m thick coal seam 4 Troika shield support,"P-2,Q-1,R-4,S-3","P-4, Q-1,R-3, S-2","P-4,Q-2,R-3,S-1","P-2, Q-3,R-4,S-1",0
531,Mining Engineering,Rock mechanics and strata control,10,"A circular tunnel of 1.85 m radius is driven in rock in a hydrostatic stress field of 20 MPa. The tunnel lining is provided before occurrence of any rock deformation. The shear modulus of rock is 2 GPa and the modulus of elasticity of lining material is 3 GPa. Assuming both rock and lining behave elastically, the radial pressure on the rock and lining interface in MPa is",8.19,9.91,11.62,13.33,2
532,Mining Engineering,Mining engineering fundamentals,10,The annual production target in Mte is,5.76,7,8.19,9,3
533,General Aptitude & Reasoning,English grammar and vocabulary,10,The Headmaster to speak to you. Which of the following options is incorrect to complete the above sentence?,is wanting,wants,want,was wanting,2
534,General Aptitude & Reasoning,General aptitude,10,Mahatama Gandhi was known for his humility as,he played an important role in humiliating exit of British from India.,he worked for humanitarian causes.,he displayed modesty in his interactions.,he was a fine human being.,2
535,General Aptitude & Reasoning,General aptitude,10,Select the pair that best expresses a relationship similar to that expressed in the pair: water: pipe,cart: road,electricity: wire,sea: beach,music: instrument,1
536,General Aptitude & Reasoning,General aptitude,10,Following table gives data on tourists from different countries visiting India in the year 2011. Country Number of Tourists 2000 3500 1200 1100 2400 2300 1000 Which two countries contributed to the one third of the total number of tourists who visited India in 20117,USA and Japan,USA and Australia,England and France,Japan and Australia,2
537,General Aptitude & Reasoning,General aptitude,10,If |—2X + 9| = 3 then the possible value of |—X| — X? would be,30,30,42,42,1
538,General Aptitude & Reasoning,Logical reasoning,10,All professors are researchers Some scientists are professors Which of the given conclusions is logically valid and is inferred from the above arguments,All scientists are researchers,All professors are scientists,Some researchers are scientists,No conclusion follows,2
539,Engineering Mathematics,Engineering mathematics,10,"Ifthe transpose of a matrix is equal to its inverse, then the matrix is",symmetric,orthogonal,skew symmetric,singular,1
540,Mining Engineering,Mining engineering fundamentals,10,"Inthe Moh’s scale of hardness, the minerals in increasing sequence of hardness are","calcite, gypsum, topaz, diamond","topaz, gypsum, calcite, diamond","calcite, gypsum, diamond, topaz","gypsum, calcite, topaz, diamond",3
541,Mining Engineering,Rock blasting and drilling,10,"For a 25 mm diameter spherical charge, the maximum allowable charge length in cm is",15,25,30,150,0
542,Mining Engineering,Rock blasting and drilling,10,Long-hole drilling with crater blasting is used for the construction of,winze,shaft,raise,decline,2
543,Surface & Underground Mining Methods,Surface and underground mining methods,10,Rill stoping method is a form of,block caving,artificially supported stoping,underhand stoping,overhand stoping,3
544,Mining Engineering,Mine surveying,10,Transit theodolite is a,micro-optic theodolite,theodolite with face left and face right reading facilities,theodolite with stadia hairs,theodolite with two vertical circles,1
545,Mining Engineering,Mining engineering fundamentals,10,Incubation period is NOT related to,crossing point temperature of coal,panel size,seam thickness,explosibility of coal dust,3
546,Mining Engineering,Mining engineering fundamentals,10,Thep phreati face i,less than atmospheric pressure,greater than atmospheric pressure,equal to atmospheric pressure,independent of atmospheric pressure,2
547,Mining Engineering,Rock blasting and drilling,10,"Among the following options, the specific energy for rock-drilling is lowest in",rotary diamond drilling,rotary roller drilling,percussive drilling,jet piercing,2
548,Engineering Mathematics,Engineering mathematics,10,Identify the correct statement for a ‘normal distribution’.,Mean is greater than mode but less than median,Mean is less than mode but greater than median,Mean is greater than mode and median,"Mean, median and mode are equal",3
